,clean_text
0,accord to gran the company have no plan to move all production to russia although that be where the company be grow
1,technopoli plan to develop in stage an area of no less than one hundred thousand square meter in order to host company work in computer technology and telecommunication the statement say
2,the international electronic industry company elcoteq have lie off ten of employee from its tallinn facility contrary to early layoff the company contract the rank of its office worker the daily postimee report
3,with the new production plant the company would increase its capacity to meet the expect increase in demand and would improve the use of raw material and therefore increase the production profitability
4,accord to the company s update strategy for the year two thousand and nine two thousand and twelve basware target a long term net sale growth in the range of twenty forty with an operate profit margin of ten twenty of net sale
5,finance of aspocomp s growth aspocomp be aggressively pursue its growth strategy by increasingly focus on technologically more demanding hdi print circuit board pcb
6,for the last quarter of two thousand and ten componenta s net sale double to one hundred and thirty one eur eur m from seventy six eur eur m for the same period a year early while it move to a zero pre tax profit from a pre tax loss of seven eur eur m
7,in the third quarter of two thousand and ten net sale increase by five point two to two hundred and five point five eur eur mn and operate profit by thirty four point nine to twenty three point five eur eur mn
8,operate profit rise to thirteen point one eur eur mn from eight point seven eur eur mn in the corresponding period in two thousand and seven represent seven point seven of net sale
9,operate profit total twenty one point one eur eur mn up from eighteen point six eur eur mn in two thousand and seven represent nine point seven of net sale
10,teliasonera tlsn say the offer be in line with its strategy to increase its ownership in core business holding and would strengthen eesti telekom s offering to its customer
11,stora enso norske skog m real upm kymmene credit suisse first boston cfsb raise the fair value for share in four of the large nordic forestry group
12,a purchase agreement for seven thousand two hundred ton of gasoline with delivery at the hamina terminal finland be sign with neste oil oyj at the average platt index for this september plus eight we dollar per month
13,finnish talentum report its operating profit increase to twenty point five eur eur mn in two thousand and five from nine point three eur eur mn in two thousand and four and net sale total one hundred and three point three eur eur mn up from ninety six point four eur eur mn
14,clothing retail chain sepp+ l+ be sale increase by eight to one hundred and fifty five point two eur eur mn and operate profit rise to thirty one point one eur eur mn from seventeen point one eur eur mn in two thousand and four
15,consolidate net sale increase sixteen to reach seventy four eur eur eight m while operate profit amount to zero eur eur nine m compare to a loss of zero eur eur seven m in the prior year period
16,foundry division report its sale increase by nine point seven to sixty three point one eur eur mn from fifty seven point five eur eur mn in the corresponding period in two thousand and six and sale of the machine shop division increase by sixteen point four to forty one point two eur eur mn from thirty five point four eur eur mn in the corresponding period in two thousand and six
17,helsinki afx share close high lead by nokia after it announce plan to team up with sanyo to manufacture three g handset and by nokian tyre after its fourth quarter earn report beat analyst expectation dealer say
18,incap contract manufacturing service pvt ltd a subsidiary of incap corporation of finland plan to double its revenue by two thousand and seven two thousand and eight
19,its board of director will propose a dividend of zero eur eur twelve per share for two thousand and ten up from the zero eur eur eight per share pay in two thousand and nine
20,lifetree be find in two thousand and its revenue have rise on an average by forty with margin in late thirty s
21,filippova a trilateral agreement on investment in the construction of a technology park in st petersburg be to have be sign in the course of the forum day of the russian economy that open in helsinki today
22,megafon s subscriber base increase sixteen point one in two thousand and nine to fifty point five million user as of december thirty one while its market share by the number of customer amount to twenty four as of late two thousand and nine up from twenty three as of late two thousand and eight accord to teliasonera estimate
23,net income from life insurance double to six point eight eur eur mn from three point two eur eur mn and net income from non life insurance rise to five point two eur eur mn from one point five eur eur mn in the corresponding period in two thousand and nine
24,net sale increase to one hundred and ninety three eur eur three m from one hundred and seventy nine eur eur nine m and pretax profit rise by thirty four point two to forty three eur eur one m. one eur eur = one usd usd four
25,net sale surge by eighteen point five to one hundred and sixty seven eur eur eight m. teleste say that twenty eur eur four m or twelve point two of the sale come from the acquisition make in two thousand and nine
